,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
0,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2021.0,91911,0,0,0,0,44408141,3256460,2136983,47664601
1,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2020.0,91911,0,0,0,0,35941636,3522954,2632688,39464590
2,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2019.0,91911,0,0,204555,0,35487026,2434789,2298104,38126370
3,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2018.0,91911,0,0,35000,0,29811044,2412572,1869374,32258616
4,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2017.0,91911,0,0,36800,0,27582015,2269306,2049541,29888121
5,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2016.0,91911,0,0,16800,0,28532127,2003551,1738321,30552478
6,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2015.0,91911,0,0,125830,0,28333254,925726,893295,29384810
7,"METROPOLITAN AREA ADVISORY COMMITTEE ON
ANTI-POVERTY OF SAN DIEGO COUNTY INC",952457354,2013.0,0,0,0,0,0,0,254541,0,254541
8,Not found,930623286,,0,0,0,0,0,0,0,0,0
9,Not found,930623286,,0,0,0,0,0,0,0,0,0
10,Not found,952457354,,0,0,0,0,0,0,0,0,0
11,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2020.0,92112,9190,0,0,0,11606920,4238141,0,15854251
12,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2019.0,92112,21301,0,0,0,7876775,2735170,0,10633246
13,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2018.0,92112,50794,0,5748,0,7519954,2379161,0,9955657
14,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2017.0,92112,91200,0,28745,0,0,2116667,0,2236612
15,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2016.0,92112,77085,0,53000,0,0,1952123,0,2082208
16,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2015.0,92101,121494,0,57035,0,0,2955261,0,3133790
17,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2014.0,92101,120174,0,143749,0,0,1755127,0,2019050
18,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2013.0,0,116799,0,196830,0,0,1845723,0,2159352
19,Not found,237334012,,0,0,0,0,0,0,0,0,0
20,Not found,237334012,,0,0,0,0,0,0,0,0,0
21,Not found,237334012,,0,0,0,0,0,0,0,0,0
22,CENTER FOR COMMUNITY SOLUTIONS,956379598,2021.0,92109,0,0,463831,0,5516946,850877,16256,6831654
23,CENTER FOR COMMUNITY SOLUTIONS,956379598,2020.0,92109,0,0,493759,0,4983768,1295828,21422,6773355
24,CENTER FOR COMMUNITY SOLUTIONS,956379598,2019.0,92109,0,0,169778,0,4963840,943753,50456,6077371
25,CENTER FOR COMMUNITY SOLUTIONS,956379598,2018.0,92109,0,0,431150,0,4702859,731655,33999,5865664
26,CENTER FOR COMMUNITY SOLUTIONS,956379598,2017.0,92109,0,0,286098,0,4101800,719296,35080,5107194
27,CENTER FOR COMMUNITY SOLUTIONS,956379598,2016.0,92109,0,0,180995,0,3654739,747187,91441,4582921
28,CENTER FOR COMMUNITY SOLUTIONS,956379598,2015.0,92109,0,0,238746,0,3215028,596261,29180,4050035
29,CENTER FOR COMMUNITY SOLUTIONS,956379598,2014.0,92109,0,0,222496,0,3027355,693548,18123,3943399
30,CENTER FOR COMMUNITY SOLUTIONS,956379598,2013.0,0,0,0,314055,0,2686916,1234390,172083,4235361
31,Not found,956379598,,0,0,0,0,0,0,0,0,0
32,Not found,956379598,,0,0,0,0,0,0,0,0,0
33,Not found,956379598,,0,0,0,0,0,0,0,0,0
34,SAN DIEGO RESCUE MISSION INC,951874073,2021.0,92138,0,0,155764,0,0,26121296,8271604,26277060
35,SAN DIEGO RESCUE MISSION INC,951874073,2020.0,92138,0,0,142855,0,0,21978558,10039786,22121413
36,SAN DIEGO RESCUE MISSION INC,951874073,2019.0,92138,0,0,50825,0,0,16540608,7454894,16591433
37,SAN DIEGO RESCUE MISSION INC,951874073,2018.0,92138,0,0,297819,0,0,16921789,8637829,17219608
38,SAN DIEGO RESCUE MISSION INC,951874073,2017.0,92138,0,0,0,0,0,17095088,9929227,17095088
39,San Diego Rescue Mission Inc,951874073,2016.0,92138,0,0,305400,0,0,16740241,10289900,17045641
40,San Diego Rescue Mission Inc,951874073,2015.0,92138,0,0,265175,0,0,15535669,9304663,15535669
41,SAN DIEGO RESCUE MISSION INC,951874073,2014.0,92138,0,0,0,0,0,16740258,10231347,16740258
42,SAN DIEGO RESCUE MISSION INC,951874073,2013.0,0,0,0,0,0,0,19597062,9632204,19597062
43,Not found,330801710,,0,0,0,0,0,0,0,0,0
44,Not found,330801710,,0,0,0,0,0,0,0,0,0
45,Not found,951874073,,0,0,0,0,0,0,0,0,0
46,Not found,951874073,,0,0,0,0,0,0,0,0,0
47,UNION OF PAN ASIAN COMMUNITIES,237279074,2021.0,92102,170,0,44349,0,0,595309,53487,639828
48,UNION OF PAN ASIAN COMMUNITIES,237279074,2020.0,92102,216,0,77662,0,33272,524550,0,635700
49,UNION OF PAN ASIAN COMMUNITIES,237279074,2019.0,92102,56,0,0,0,0,561746,0,561802
50,UNION OF PAN ASIAN COMMUNITIES,237279074,2018.0,92102,387,0,134109,0,0,299784,0,434280
51,UNION OF PAN ASIAN COMMUNITIES,237279074,2017.0,92102,219,0,123225,0,0,443582,0,567026
52,UNION OF PAN ASIAN COMMUNITIES,237279074,2016.0,92102,777,0,118088,0,0,378054,0,496919
53,UNION OF PAN ASIAN COMMUNITIES,237279074,2015.0,92102,1083,0,120006,0,0,282200,0,403289
54,UNION OF PAN ASIAN COMMUNITIES,237279074,2014.0,92102,752,0,108729,0,0,254538,0,364019
55,UNION OF PAN ASIAN COMMUNITIES,237279074,2013.0,0,3256,0,0,0,0,301674,0,304930
56,Not found,237279074,,0,0,0,0,0,0,0,0,0
57,Not found,237279074,,0,0,0,0,0,0,0,0,0
58,Not found,237279074,,0,0,0,0,0,0,0,0,0
59,Not found,237279074,,0,0,0,0,0,0,0,0,0
60,"Strong Hearted Native Womens
Coalition Inc",562613191,2021.0,92082,0,0,0,0,1434028,236674,0,1670702
61,"Strong Hearted Native Womens
Coalition Inc",562613191,2020.0,92082,0,0,0,0,1025846,45625,0,1071471
62,"Strong Hearted Native Womens
Coalition Inc",562613191,2019.0,92082,0,0,0,0,921567,26017,0,947584
63,"Strong Hearted Native Womens
Coalition Inc",562613191,2018.0,92082,0,0,0,0,876189,3574,0,879763
64,"Strong Hearted Native Womens
Coalition Inc",562613191,2017.0,92082,0,0,0,0,799422,7109,0,806531
65,Not found,562613191,,0,0,0,0,0,0,0,0,0
66,SERVING SENIORS,952850121,2021.0,92101,0,0,129000,0,8663919,3595528,0,12388447
67,SERVING SENIORS,952850121,2020.0,92101,0,0,250845,0,10529880,2712201,0,13492926
68,SERVING SENIORS,952850121,2019.0,92101,0,0,53970,0,5623675,3947673,0,9625318
69,SERVING SENIORS,952850121,2018.0,92101,0,0,161620,0,4078668,2248135,124834,6488423
70,SERVING SENIORS,952850121,2017.0,92101,0,0,101071,0,3298204,1739118,236047,5138393
71,SERVING SENIORS,952850121,2014.0,92101,0,0,0,0,3260642,1926705,565000,5187347
72,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2021.0,92123,0,0,0,0,1863289,10000,0,1873289
73,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2020.0,92123,0,0,0,0,2015213,25000,0,2040213
74,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2019.0,92123,0,0,0,0,1970684,262742,0,2233426
75,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2018.0,92123,0,0,0,0,2193360,231560,0,2424920
76,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2017.0,92123,0,0,0,0,1412677,763293,0,2175970
77,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2016.0,92123,0,0,82700,0,1528859,1256636,0,2868195
78,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2015.0,92123,0,0,74326,0,1470129,338135,0,1882590
79,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2014.0,92123,0,0,37687,0,820992,382375,0,1241054
80,COMMUNITY HEALTH IMPROVEMENT PARTNERS,330496092,2013.0,0,0,0,45878,0,828832,471764,0,1346474
81,Not found,930623286,,0,0,0,0,0,0,0,0,0
82,Not found,930623286,,0,0,0,0,0,0,0,0,0
83,Not found,330496092,,0,0,0,0,0,0,0,0,0
84,Southern Indian Health Council,953782164,2020.0,91901,0,0,0,0,19406720,120824,59013,19527544
85,Southern Indian Health Council,953782164,2019.0,91901,0,0,0,0,15329504,54763,54763,15384267
86,Southern Indian Health Council,953782164,2018.0,91901,0,0,0,0,12821614,171201,44396,12992815
87,Southern Indian Health Council,953782164,2017.0,91901,0,0,0,0,12039956,227741,42532,12267697
88,Southern Indian Health Council,953782164,2016.0,91901,0,0,0,0,11237004,378725,39036,11615729
89,Southern Indian Health Council,953782164,2015.0,91901,0,0,0,0,10326684,926092,96307,11252776
90,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2014.0,91901,0,0,0,0,10459020,638433,123626,11097453
91,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2013.0,0,0,0,0,0,9395777,145941,97417,9541718
92,UPLIFT,330210280,2022.0,92102,0,0,215764,0,0,225374,0,441138
93,UPLIFT,330210280,2021.0,92102,0,0,53708,0,0,192522,30000,246230
94,Uplift,330210280,2019.0,92102,0,0,52847,0,0,188329,0,241176
95,NEIGHBORHOOD HOUSE ASSN,951648184,2021.0,92111,322,0,248049,0,103160048,624484,0,104032903
96,NEIGHBORHOOD HOUSE ASSN,951648184,2020.0,92111,753,0,210773,0,94379296,718898,0,95309720
97,NEIGHBORHOOD HOUSE ASSN,951648184,2019.0,92111,819,0,88990,0,97559202,598531,0,98247542
98,NEIGHBORHOOD HOUSE ASSN,951648184,2018.0,92111,882,0,197990,0,95320956,638996,74436,96158824
99,NEIGHBORHOOD HOUSE ASSN,951648184,2017.0,92111,2433,0,90000,0,92792453,640431,65505,93525317
100,Neighborhood House Assn,951648184,2016.0,92111,4241,0,208120,0,85482020,539917,0,86234298
101,Neighborhood House Assn,951648184,2015.0,92111,6215,0,193732,0,83944092,573315,0,84717354
102,NEIGHBORHOOD HOUSE ASSN,951648184,2014.0,92111,7121,0,163374,0,81106064,333272,0,81609831
103,NEIGHBORHOOD HOUSE ASSN,951648184,2013.0,0,3876,0,89183,0,76395637,466969,287665,76955665
104,Not found,221478099,,0,0,0,0,0,0,0,0,0
105,Not found,951648184,,0,0,0,0,0,0,0,0,0
106,Not found,951648184,,0,0,0,0,0,0,0,0,0
107,Not found,951648184,,0,0,0,0,0,0,0,0,0
